index                     	  database_var
average_leaf_depth        	      0.006191
variance_of_leaves_depths 	    nan
sackin_index              	      0.006191
total_path_length         	      0.006191
total_internal_path_length	      0.006191
average_vertex_depth      	      0.006191
colless_index             	      0.006734
corrected_colless_index   	      0.006734
quadratic_colless_index   	      0.007961
s_shape                   	    nan
d_index                   	    nan
total_cophenetic_index    	      0.008024
B_1_index                 	    nan
B_2_index                 	      0.028281
maximum_depth             	    nan
maximum_width             	    nan
maxdiff_widths            	    nan
modified_maxdiff_widths   	    nan
max_width_over_max_depth  	    nan
cherry_index              	      0.003319
modified_cherry_index     	      0.003319
IL_number                 	    nan
pitchforks                	    nan
four_caterpillars         	    nan
double_cherries           	    nan
ladder_length             	    nan
diameter                  	    nan
area_per_pair_index       	    nan
wiener_index              	    nan
root_imbalance            	      0.019180
I_root                    	      0.019180
rogers_j_index            	      0.001746
symmetry_nodes_index      	      0.001608
stairs1                   	      0.001746
stairs2                   	    nan
I_2_index                 	    nan
mean_I                    	    nan
total_I                   	    nan
mean_I_prime              	    nan
total_I_prime             	    nan
mean_I_w                  	    nan
total_I_w                 	    nan
rooted_quartet_index      	    nan
colijn_plazotta_rank      	    nan
furnas_rank               	    nan
treeness                  	      0.008432
stemminess                	      0.001660
